captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,2,-,2,0,58707,跳樓機,LBI利比,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,3,↑,4,0,66606,淚橋,伍佰,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,4,↓,3,0,67060,擱淺,周杰倫,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,5,-,5,0,56384,離開我的依賴,王艷薇,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,6,-,6,0,59145,太陽與地球,盧廣仲,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,7,-,7,0,45744,天后,陳勢安,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,8,↑,15,0,42589,我懷念的,孫燕姿,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,9,↑,10,0,54167,摯友,A-Lin,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,10,↓,9,0,40268,愛錯,王力宏,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,11,-,11,0,66844,倒帶,蔡依林,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,12,↓,8,0,61536,痴心絕對,李聖傑,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,13,↓,12,0,53920,如果可以,韋禮安,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,14,-,14,0,41354,失戀無罪,A-Lin,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,15,↓,13,0,50616,連名帶姓,張惠妹(aMEI),
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,16,-,16,0,44474,妥協,蔡依林,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,17,↑,18,0,55545,字字句句,盧盧快閉嘴,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,18,↓,17,0,52161,慢冷,梁靜茹,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,19,↑,20,0,53613,我很好騙,動力火車,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,20,↑,21,0,66834,我是真的愛上你,王傑,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,21,↑,22,0,48102,特別的人,方大同,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,22,↑,23,0,53726,嘉賓,張遠,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,23,↑,26,0,43235,日不落,蔡依林,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,24,↑,28,0,50122,家家酒,家家,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,25,-,25,0,65926,十年,陳奕迅,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,26,↑,27,0,58163,愛情的大壞蛋,美秀集團,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,27,↓,24,0,53303,刻在我心底的名字,盧廣仲,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,28,↑,29,0,54427,從前說,小阿七,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,29,↓,19,0,54889,想和你看五月的晚霞,陳華 Hua Chen,
2026-02-16,國語點播週榜,2026-02-03,2026-02-09,30,-,30,0,47304,修煉愛情,林俊傑,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,2,-,2,0,16112,必巡,曾瑋中,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,3,-,3,0,16821,運轉人生,邱軍,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,4,-,4,0,70292,人生的歌,黃乙玲,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,5,-,5,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,6,-,6,0,16012,閣愛妳一擺,茄子蛋,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,7,-,7,0,15053,浪流連,茄子蛋,
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,8,-,8,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-02-16,台語點播週榜,2026-02-03,2026-02-09,9,-,9,0,74805,浪子回頭,茄子蛋,
