captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,2,-,2,0,56384,離開我的依賴,王艷薇,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,3,-,3,0,59145,太陽與地球,盧廣仲,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,4,-,4,0,67060,擱淺,周杰倫,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,5,↑,7,0,58707,跳樓機,LBI利比(時柏塵),
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,6,-,6,0,66606,淚橋,伍佰,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,7,↓,5,0,42589,我懷念的,孫燕姿,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,8,↑,14,0,58574,不愛就不愛,艾薇,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,9,↑,11,0,61536,痴心絕對,李聖傑,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,10,↓,8,0,45744,天后,陳勢安,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,11,↓,9,0,59424,幸福在歌唱,A-Lin,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,12,↓,10,0,66844,倒帶,蔡依林,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,13,↓,12,0,40268,愛錯,王力宏,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,14,↑,15,0,53920,如果可以,韋禮安,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,15,↓,13,0,58745,數到十,曾沛慈,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,16,-,16,0,64841,開始懂了,孫燕姿,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,17,↑,18,0,52161,慢冷,梁靜茹,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,18,↑,20,0,50616,連名帶姓,張惠妹(aMEI),
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,19,↑,22,0,45132,雨愛,楊丞琳,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,20,↓,17,0,54167,摯友,A-Lin,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,21,↓,19,0,55545,字字句句,盧盧快閉嘴,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,22,↓,21,0,47284,一個人想著一個人,曾沛慈,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,23,-,23,0,66834,我是真的愛上你,王傑,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,24,-,24,0,53303,刻在我心底的名字,盧廣仲,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,25,↑,26,0,50122,家家酒,家家,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,26,↑,30,0,58163,愛情的大壞蛋,美秀集團,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,27,↑,29,0,54427,從前說,小阿七,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,28,↓,27,0,41354,失戀無罪,A-Lin,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,29,↓,25,0,53726,嘉賓,張遠,
2026-08-10,國語點播週榜,2026-07-28,2026-08-03,30,新進,,1,53613,我很好騙,動力火車,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,2,-,2,0,16112,必巡,曾瑋中,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,3,-,3,0,16821,運轉人生,邱軍,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,4,-,4,0,70292,人生的歌,黃乙玲,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,5,-,5,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,6,↑,7,0,16012,閣愛妳一擺,茄子蛋,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,7,↓,6,0,15053,浪流連,茄子蛋,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,8,↑,9,0,74805,浪子回頭,茄子蛋,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,9,↓,8,0,76176,愛到無命不知驚,王識賢,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,10,↑,11,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,11,↓,10,0,75565,夢中的情話,"江蕙, 阿杜",
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,12,↑,15,0,76150,愛情限時批,"伍佰, 萬芳",
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,13,-,13,0,16743,我喜歡你,芒果醬 Mango Jump,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,14,↓,12,0,75951,無字的情批,黃乙玲,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,15,↑,16,0,71599,心裡有針,蕭煌奇,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,16,↓,14,0,16894,伊的身邊已經有別人 2023,"許富凱, 血肉果汁機",
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,17,↑,18,0,73640,作陣彼一暝,阿吉仔,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,18,↑,20,0,75668,傷心酒店,"施文彬, 江蕙",
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,19,↓,17,0,77257,落雨聲,江蕙,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,20,↑,21,0,72710,上水的花,蕭煌奇,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,21,↓,19,0,73916,你講的話,江蕙,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,22,-,22,0,77135,愛到才知痛,黃乙玲,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,23,↑,29,0,76802,思念你的心肝你敢知,曾心梅,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,24,↑,26,0,74597,長途夜車,滅火器,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,25,↓,24,0,76058,追追追,黃妃,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,26,↓,25,0,76124,家後,江蕙,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,27,↓,23,0,77226,愛甲超過,向蕙玲,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,28,↑,30,0,77102,海波浪,黃乙玲,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,29,↓,28,0,72711,心花開,李千娜,
2026-08-10,台語點播週榜,2026-07-28,2026-08-03,30,↓,27,0,15025,查某囡仔,李千那,
