captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,1,↑,2,0,58828,看著我的眼睛說,張遠,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,2,↓,1,0,59424,幸福在歌唱,A-Lin,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,3,↑,4,0,56384,離開我的依賴,王艷薇,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,4,↓,3,0,58707,跳樓機,LBI利比(時柏塵),
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,5,-,5,0,67060,擱淺,周杰倫,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,6,-,6,0,59145,太陽與地球,盧廣仲,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,7,-,7,0,66606,淚橋,伍佰,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,8,↑,9,0,45744,天后,陳勢安,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,9,↓,8,0,42589,我懷念的,孫燕姿,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,10,↑,11,0,40268,愛錯,王力宏,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,11,↑,14,0,53920,如果可以,韋禮安,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,12,↓,10,0,66844,倒帶,蔡依林,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,13,↓,12,0,61536,痴心絕對,李聖傑,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,14,↑,15,0,50616,連名帶姓,張惠妹(aMEI),
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,15,↓,13,0,54167,摯友,A-Lin,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,16,↑,19,0,55545,字字句句,盧盧快閉嘴,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,17,↓,16,0,59374,有一種遺憾叫我們,于冬然,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,18,↓,17,0,52161,慢冷,梁靜茹,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,19,↑,22,0,48102,特別的人,方大同,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,20,↑,21,0,53726,嘉賓,張遠,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,21,↓,18,0,66834,我是真的愛上你,王傑,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,22,↑,23,0,54427,從前說,小阿七,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,23,↓,20,0,58163,愛情的大壞蛋,美秀集團,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,24,↑,26,0,53613,我很好騙,動力火車,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,25,↓,24,0,41214,楓,周杰倫,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,26,↓,25,0,54889,想和你看五月的晚霞,陳華,
2026-04-13,國語點播週榜,2026-03-31,2026-04-06,27,↑,30,0,47304,修煉愛情,林俊傑,
