captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,2,-,2,0,56384,離開我的依賴,王艷薇,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,3,↑,4,0,58707,跳樓機,LBI利比(時柏塵),
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,4,↑,5,0,67060,擱淺,周杰倫,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,5,↓,3,0,59424,幸福在歌唱,A-Lin,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,6,↑,7,0,66606,淚橋,伍佰,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,7,↓,6,0,59145,太陽與地球,盧廣仲,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,8,↑,10,0,45744,天后,陳勢安,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,9,↓,8,0,42589,我懷念的,孫燕姿,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,10,↓,9,0,40268,愛錯,王力宏,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,11,-,11,0,61536,痴心絕對,李聖傑,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,12,-,12,0,66844,倒帶,蔡依林,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,13,↑,14,0,54167,摯友,A-Lin,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,14,↑,15,0,53920,如果可以,韋禮安,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,15,↑,17,0,58745,數到十,曾沛慈,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,16,-,16,0,50616,連名帶姓,張惠妹(aMEI),
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,17,↓,13,0,55545,字字句句,盧盧快閉嘴,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,18,-,18,0,47284,一個人想著一個人,曾沛慈,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,19,↑,20,0,52161,慢冷,梁靜茹,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,20,↑,22,0,66834,我是真的愛上你,王傑,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,21,↓,19,0,47016,泡沫,鄧紫棋,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,22,↑,23,0,53726,嘉賓,張遠,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,23,↓,21,0,49256,多遠都要在一起,鄧紫棋,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,24,↑,30,0,59374,有一種遺憾叫我們,于冬然,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,25,↓,24,0,54427,從前說,小阿七,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,26,↑,29,0,50122,家家酒,家家,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,27,新進,,1,53613,我很好騙,動力火車,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,28,↓,26,0,41214,楓,周杰倫,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,29,↓,25,0,58163,愛情的大壞蛋,美秀集團,
2026-05-04,國語點播週榜,2026-04-21,2026-04-27,30,新進,,1,48102,特別的人,方大同,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,2,-,2,0,16112,必巡,曾瑋中,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,3,-,3,0,16821,運轉人生,邱軍,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,4,-,4,0,70292,人生的歌,黃乙玲,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,5,↑,6,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,6,↑,7,0,16012,閣愛妳一擺,茄子蛋,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,7,↑,8,0,15053,浪流連,茄子蛋,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,8,↑,11,0,76176,愛到無命不知驚,王識賢,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,9,↓,5,0,17499,山頂紅玫瑰,楊紫惠,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,10,-,10,0,75565,夢中的情話,"江蕙, 阿杜",
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,11,↓,9,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,12,-,12,0,74805,浪子回頭,茄子蛋,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,13,↑,14,0,16894,伊的身邊已經有別人 2023,"許富凱, 血肉果汁機",
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,14,↑,15,0,77257,落雨聲,江蕙,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,15,↓,13,0,71599,心裡有針,蕭煌奇,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,16,↑,17,0,76150,愛情限時批,"伍佰, 萬芳",
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,17,↓,16,0,73640,作陣彼一暝,阿吉仔,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,18,↑,19,0,75951,無字的情批,黃乙玲,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,19,↑,20,0,75668,傷心酒店,"施文彬, 江蕙",
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,20,↑,22,0,16743,我喜歡你,芒果醬 Mango Jump,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,21,-,21,0,72710,上水的花,蕭煌奇,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,22,↑,23,0,17494,紅桃姐姐,大芭 安苡葳,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,23,↑,25,0,77226,愛甲超過,向蕙玲,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,24,-,24,0,76124,家後,江蕙,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,25,↑,28,0,77102,海波浪,黃乙玲,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,26,↑,27,0,76058,追追追,黃妃,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,27,↓,26,0,77135,愛到才知痛,黃乙玲,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,28,↑,30,0,77577,心狠手辣,江蕙,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,29,新進,,1,15025,查某囡仔,李千那,
2026-05-04,台語點播週榜,2026-04-21,2026-04-27,30,新進,,1,76717,男人情女人心,"龍千玉, 袁小迪",
