captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,2,↑,5,0,42589,我懷念的,孫燕姿,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,3,↓,2,0,56384,離開我的依賴,王艷薇,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,4,↑,6,0,59145,太陽與地球,盧廣仲,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,5,↓,3,0,58707,跳樓機,LBI利比(時柏塵),
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,6,↓,4,0,67060,擱淺,周杰倫,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,7,-,7,0,66606,淚橋,伍佰,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,8,↑,28,0,64841,開始懂了,孫燕姿,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,9,↑,10,0,45744,天后,陳勢安,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,10,↑,15,0,66844,倒帶,蔡依林,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,11,↓,9,0,40268,愛錯,王力宏,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,12,↓,11,0,59424,幸福在歌唱,A-Lin,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,13,↓,12,0,61536,痴心絕對,李聖傑,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,14,↑,16,0,53920,如果可以,韋禮安,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,15,↓,8,0,58745,數到十,曾沛慈,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,16,↓,14,0,50616,連名帶姓,張惠妹(aMEI),
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,17,↓,13,0,54167,摯友,A-Lin,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,18,↓,17,0,47284,一個人想著一個人,曾沛慈,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,19,-,19,0,52161,慢冷,梁靜茹,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,20,↓,18,0,55545,字字句句,盧盧快閉嘴,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,21,-,21,0,66834,我是真的愛上你,王傑,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,22,↑,25,0,61144,雨蝶,李翊君,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,23,↑,30,0,53726,嘉賓,張遠,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,24,↓,23,0,53613,我很好騙,動力火車,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,25,↓,22,0,54427,從前說,小阿七,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,26,↑,29,0,58163,愛情的大壞蛋,美秀集團,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,27,↓,24,0,50122,家家酒,家家,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,28,↓,20,0,48102,特別的人,方大同,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,29,↓,27,0,41354,失戀無罪,A-Lin,
2026-06-01,國語點播週榜,2026-05-19,2026-05-25,30,新進,,1,41214,楓,周杰倫,
