captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,2,↑,3,0,56384,離開我的依賴,王艷薇,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,3,↓,2,0,59424,幸福在歌唱,A-Lin,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,4,-,4,0,58707,跳樓機,LBI利比(時柏塵),
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,5,-,5,0,67060,擱淺,周杰倫,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,6,-,6,0,59145,太陽與地球,盧廣仲,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,7,-,7,0,66606,淚橋,伍佰,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,8,↑,10,0,40268,愛錯,王力宏,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,9,-,9,0,42589,我懷念的,孫燕姿,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,10,↓,8,0,45744,天后,陳勢安,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,11,↑,15,0,54167,摯友,A-Lin,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,12,-,12,0,66844,倒帶,蔡依林,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,13,-,13,0,61536,痴心絕對,李聖傑,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,14,-,14,0,50616,連名帶姓,張惠妹(aMEI),
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,15,↓,11,0,53920,如果可以,韋禮安,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,16,-,16,0,55545,字字句句,盧盧快閉嘴,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,17,新進,,1,47016,泡沫,鄧紫棋,
2026-04-20,國語點播週榜,2026-04-07,2026-04-13,18,-,18,0,52161,慢冷,梁靜茹,
