captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,2,-,2,0,56384,離開我的依賴,王艷薇,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,3,-,3,0,67060,擱淺,周杰倫,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,4,-,4,0,59145,太陽與地球,盧廣仲,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,5,-,5,0,58707,跳樓機,LBI利比(時柏塵),
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,6,-,6,0,66606,淚橋,伍佰,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,7,-,7,0,42589,我懷念的,孫燕姿,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,8,↑,12,0,61536,痴心絕對,李聖傑,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,9,↓,8,0,45744,天后,陳勢安,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,10,-,10,0,66844,倒帶,蔡依林,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,11,↑,15,0,59424,幸福在歌唱,A-Lin,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,12,↑,14,0,40268,愛錯,王力宏,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,13,↓,11,0,64841,開始懂了,孫燕姿,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,14,↓,9,0,58745,數到十,曾沛慈,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,15,↓,13,0,53920,如果可以,韋禮安,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,16,-,16,0,50616,連名帶姓,張惠妹(aMEI),
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,17,-,17,0,47284,一個人想著一個人,曾沛慈,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,18,↑,23,0,45132,雨愛,楊丞琳,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,19,↑,22,0,58574,不愛就不愛,艾薇,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,20,-,20,0,52161,慢冷,梁靜茹,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,21,-,21,0,54167,摯友,A-Lin,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,22,↓,19,0,55545,字字句句,盧盧快閉嘴,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,23,↓,18,0,66834,我是真的愛上你,王傑,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,24,↑,25,0,48102,特別的人,方大同,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,25,↑,30,0,41354,失戀無罪,A-Lin,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,26,↑,27,0,53726,嘉賓,張遠,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,27,↓,26,0,58163,愛情的大壞蛋,美秀集團,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,28,-,28,0,61144,雨蝶,李翊君,
2026-07-06,國語點播週榜,2026-06-23,2026-06-29,29,↓,24,0,53303,刻在我心底的名字,盧廣仲,
