captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,2,-,2,0,56384,離開我的依賴,王艷薇,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,3,-,3,0,59424,幸福在歌唱,A-Lin,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,4,-,4,0,58707,跳樓機,LBI利比(時柏塵),
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,5,-,5,0,67060,擱淺,周杰倫,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,6,-,6,0,59145,太陽與地球,盧廣仲,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,7,-,7,0,66606,淚橋,伍佰,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,8,↑,9,0,42589,我懷念的,孫燕姿,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,9,↓,8,0,40268,愛錯,王力宏,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,10,-,10,0,45744,天后,陳勢安,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,11,↑,13,0,61536,痴心絕對,李聖傑,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,12,-,12,0,66844,倒帶,蔡依林,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,13,↑,16,0,55545,字字句句,盧盧快閉嘴,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,14,↓,11,0,54167,摯友,A-Lin,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,15,-,15,0,53920,如果可以,韋禮安,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,16,↓,14,0,50616,連名帶姓,張惠妹(aMEI),
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,17,↑,22,0,58745,數到十,曾沛慈,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,18,↑,23,0,47284,一個人想著一個人,曾沛慈,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,19,↓,17,0,47016,泡沫,鄧紫棋,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,20,↓,18,0,52161,慢冷,梁靜茹,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,21,新進,,1,49256,多遠都要在一起,鄧紫棋,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,22,↓,19,0,66834,我是真的愛上你,王傑,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,23,↑,25,0,53726,嘉賓,張遠,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,24,↓,21,0,54427,從前說,小阿七,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,25,↑,26,0,58163,愛情的大壞蛋,美秀集團,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,26,↑,30,0,41214,楓,周杰倫,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,27,↑,28,0,41354,失戀無罪,A-Lin,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,28,↓,27,0,44474,妥協,蔡依林,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,29,↓,24,0,50122,家家酒,家家,
2026-04-27,國語點播週榜,2026-04-14,2026-04-20,30,↓,20,0,59374,有一種遺憾叫我們,于冬然,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,2,-,2,0,16112,必巡,曾瑋中,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,3,-,3,0,16821,運轉人生,邱軍,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,4,-,4,0,70292,人生的歌,黃乙玲,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,5,新進,,1,17499,山頂紅玫瑰,楊紫惠,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,6,↓,5,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,7,-,7,0,16012,閣愛妳一擺,茄子蛋,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,8,↓,6,0,15053,浪流連,茄子蛋,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,9,↑,10,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,10,↓,8,0,75565,夢中的情話,"江蕙, 阿杜",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,11,↓,9,0,76176,愛到無命不知驚,王識賢,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,12,↓,11,0,74805,浪子回頭,茄子蛋,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,13,↑,16,0,71599,心裡有針,蕭煌奇,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,14,↓,12,0,16894,伊的身邊已經有別人 2023,"許富凱, 血肉果汁機",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,15,-,15,0,77257,落雨聲,江蕙,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,16,↓,14,0,73640,作陣彼一暝,阿吉仔,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,17,↓,13,0,76150,愛情限時批,"伍佰, 萬芳",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,18,新進,,1,17510,3 號出口,"陳麗美, 陳陽明",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,19,↓,17,0,75951,無字的情批,黃乙玲,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,20,↓,18,0,75668,傷心酒店,"施文彬, 江蕙",
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,21,↑,22,0,72710,上水的花,蕭煌奇,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,22,↓,19,0,16743,我喜歡你,芒果醬 Mango Jump,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,23,↓,20,0,17494,紅桃姐姐,大芭 安苡葳,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,24,↑,28,0,76124,家後,江蕙,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,25,↓,21,0,77226,愛甲超過,向蕙玲,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,26,↓,24,0,77135,愛到才知痛,黃乙玲,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,27,↓,25,0,76058,追追追,黃妃,
2026-04-27,台語點播週榜,2026-04-14,2026-04-20,28,↑,29,0,77102,海波浪,黃乙玲,
