captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,2,↑,3,0,67060,擱淺,周杰倫,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,3,↓,2,0,56384,離開我的依賴,王艷薇,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,4,-,4,0,59145,太陽與地球,盧廣仲,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,5,-,5,0,61926,沒有人像我一樣,宇宙人,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,6,↑,8,0,58574,不愛就不愛,艾薇,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,7,↓,6,0,42589,我懷念的,孫燕姿,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,8,↑,9,0,45744,天后,陳勢安,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,9,↓,7,0,58707,跳樓機,LBI利比(時柏塵),
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,10,-,10,0,66606,淚橋,伍佰,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,11,-,11,0,61536,痴心絕對,李聖傑,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,12,↑,16,0,59424,幸福在歌唱,A-Lin,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,13,-,13,0,66844,倒帶,蔡依林,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,14,↑,15,0,53920,如果可以,韋禮安,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,15,↓,14,0,58745,數到十,曾沛慈,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,16,↓,12,0,40268,愛錯,王力宏,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,17,↑,19,0,45132,雨愛,楊丞琳,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,18,↓,17,0,52161,慢冷,梁靜茹,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,19,↑,28,0,47284,一個人想著一個人,曾沛慈,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,20,↓,18,0,64841,開始懂了,孫燕姿,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,21,↑,26,0,66834,我是真的愛上你,王傑,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,22,↓,21,0,54167,摯友,A-Lin,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,23,↓,22,0,50122,家家酒,家家,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,24,↓,23,0,55545,字字句句,盧盧快閉嘴,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,25,↓,20,0,50616,連名帶姓,張惠妹(aMEI),
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,26,↑,30,0,53613,我很好騙,動力火車,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,27,-,27,0,58163,愛情的大壞蛋,美秀集團,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,28,↓,24,0,53303,刻在我心底的名字,盧廣仲,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,29,-,29,0,48102,特別的人,方大同,
2026-08-31,國語點播週榜,2026-08-18,2026-08-24,30,新進,,1,54427,從前說,小阿七,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,2,-,2,0,16112,必巡,曾瑋中,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,3,-,3,0,16821,運轉人生,邱軍,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,4,-,4,0,70292,人生的歌,黃乙玲,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,5,-,5,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,6,-,6,0,15053,浪流連,茄子蛋,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,7,-,7,0,16012,閣愛妳一擺,茄子蛋,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,8,-,8,0,75565,夢中的情話,"江蕙, 阿杜",
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,9,-,9,0,74805,浪子回頭,茄子蛋,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,10,-,10,0,76176,愛到無命不知驚,王識賢,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,11,↑,14,0,16743,我喜歡你,芒果醬 Mango Jump,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,12,↑,18,0,75627,海海人生,陳盈潔,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,13,↓,11,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,14,↑,16,0,71599,心裡有針,蕭煌奇,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,15,-,15,0,75951,無字的情批,黃乙玲,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,16,↓,12,0,76150,愛情限時批,"伍佰, 萬芳",
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,17,↓,13,0,16894,伊的身邊已經有別人 2023,"許富凱, 血肉果汁機",
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,18,↑,19,0,73916,你講的話,江蕙,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,19,↑,20,0,73640,作陣彼一暝,阿吉仔,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,20,↑,22,0,75668,傷心酒店,"施文彬, 江蕙",
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,21,-,21,0,77257,落雨聲,江蕙,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,22,↑,23,0,72710,上水的花,蕭煌奇,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,23,↑,27,0,76124,家後,江蕙,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,24,↑,26,0,77226,愛甲超過,向蕙玲,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,25,-,25,0,76802,思念你的心肝你敢知,曾心梅,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,26,↓,24,0,77135,愛到才知痛,黃乙玲,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,27,↑,28,0,76058,追追追,黃妃,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,28,新進,,1,15025,查某囡仔,李千娜,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,29,↑,30,0,77102,海波浪,黃乙玲,
2026-08-31,台語點播週榜,2026-08-18,2026-08-24,30,↓,29,0,72711,心花開,李千娜,
