captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,1,↑,5,0,59424,幸福在歌唱,A-Lin,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,2,↓,1,0,58828,看著我的眼睛說,張遠,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,3,↓,2,0,58707,跳樓機,LBI利比(時柏塵),
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,4,↓,3,0,67060,擱淺,周杰倫,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,5,↑,6,0,56384,離開我的依賴,王艷薇,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,6,↑,7,0,59145,太陽與地球,盧廣仲,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,7,↓,4,0,66606,淚橋,伍佰,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,8,-,8,0,45744,天后,陳勢安,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,9,-,9,0,61536,痴心絕對,李聖傑,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,10,↑,11,0,66844,倒帶,蔡依林,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,11,↑,12,0,40268,愛錯,王力宏,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,12,↑,13,0,42589,我懷念的,孫燕姿,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,13,↓,10,0,53920,如果可以,韋禮安,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,14,↑,15,0,54167,摯友,A-Lin,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,15,↓,14,0,50616,連名帶姓,張惠妹(aMEI),
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,16,-,16,0,41354,失戀無罪,A-Lin,
2026-03-09,國語點播週榜,2026-02-24,2026-03-02,17,↑,18,0,59374,有一種遺憾叫我們,于冬然,
