captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,2,-,2,0,58707,跳樓機,LBI利比,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,3,-,3,0,67060,擱淺,周杰倫,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,4,↑,6,0,56384,離開我的依賴,王艷薇,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,5,-,5,0,66606,淚橋,伍佰,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,6,↑,12,0,41354,失戀無罪,A-Lin,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,7,-,7,0,45744,天后,陳勢安,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,8,↑,14,0,59145,太陽與地球,盧廣仲,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,9,-,9,0,54167,摯友,A-Lin,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,10,↓,4,0,66844,倒帶,蔡依林,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,11,↓,8,0,61536,痴心絕對,李聖傑,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,12,↓,10,0,40268,愛錯,王力宏,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,13,↑,15,0,50616,連名帶姓,張惠妹(aMEI),
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,14,↑,16,0,53920,如果可以,韋禮安,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,15,↓,11,0,42589,我懷念的,孫燕姿,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,16,↓,13,0,44474,妥協,蔡依林,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,17,↑,18,0,55545,字字句句,盧盧快閉嘴,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,18,↓,17,0,52161,慢冷,梁靜茹,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,19,↑,20,0,66834,我是真的愛上你,王傑,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,20,↓,19,0,48102,特別的人,方大同,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,21,↑,30,0,54889,想和你看五月的晚霞,陳華 Hua Chen,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,22,↑,24,0,53613,我很好騙,動力火車,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,23,↑,29,0,47304,修煉愛情,林俊傑,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,24,↓,23,0,53726,嘉賓,張遠,
2026-01-26,國語點播週榜,2026-01-13,2026-01-19,25,↓,22,0,43235,日不落,蔡依林,
